temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana
14-15,Movistar Estudiantes,13,34,14,20,2509,2615,6791,-530,2509,3886,1365,-323
14-15,MoraBanc Andorra,14,34,12,22,2549,2615,6817,-330,2549,2250,758,-121
14-15,Baloncesto Sevilla,15,34,12,22,2539,2743,6842,-1020,2539,2859,1027,-406
14-15,"Or Manresa""]",16,34,11,23,2456,2672,6789,-1080,2456,1786,576,-312
14-15,Gipuzkoa Basket,17,34,10,24,2409,2648,6894,-1197,2409,3561,1241,-754
14-15,Montakit Fuenlabrada,18,34,8,26,2533,2718,6815,-925,2533,2016,452,-331
04-05,TAU Cer\xe1mica,1,34,28,6,3106,2692,6842,3467,3106,1738,696,896
04-05,Real Madrid,2,34,26,8,2720,2457,6791,2785,2720,1655,707,721
04-05,Winterthur F.C. Barcelona,3,34,24,10,2723,2579,6842,2893,2723,2983,1144,1261
04-05,Etosa Alicante,4,34,23,11,2813,2629,6794,2956,2813,4208,1593,1891
04-05,Unicaja,5,34,23,11,2775,2531,6816,2966,2775,3092,1298,1527
04-05,Adecco Estudiantes,6,34,21,13,2915,2773,6895,3111,2915,3915,1505,1786
04-05,DKV Joventut,7,34,20,14,2840,2719,6819,2988,2840,3040,1221,1249
04-05,Gran Canaria,8,34,19,15,2539,2446,6843,2538,2539,2349,792,848
04-05,Pamesa Valencia,9,34,18,16,2950,2893,6916,3082,2950,1928,659,518
04-05,Caja San Fernando,10,34,14,20,2786,2841,6843,2717,2786,1531,476,495
04-05,Leche R\xedo,11,34,13,21,2814,2889,6844,2504,2814,2462,756,807
04-05,F\xf3rum Valladolid,12,34,13,21,2677,2868,6795,2595,2677,3228,996,869
04-05,C.B. Granada,13,34,12,22,2632,2881,6845,2486,2632,3211,1186,1031
04-05,Ricoh Manresa,14,34,12,22,2649,2783,6792,2671,2649,3784,1280,1255
04-05,Lagun Aro Bilbao Basket,15,34,12,22,2634,2801,6917,2540,2634,2678,898,860
04-05,Casademont Girona,16,34,11,23,2786,2996,6894,2694,2786,1118,307,282
04-05,Unelco Tenerife,17,34,9,25,2447,2763,6791,2130,2447,1309,489,375
04-05,Plus Pujol Lleida,18,34,8,26,2667,2932,6841,2529,2667,2946,1135,1049
94-95,F.C. Barcelona Banca Catalana,1,38,30,8,3219,2937,7590,3406,3219,4919,2004,2047
94-95,Unicaja,2,38,25,13,3166,3031,7793,3150,3166,4225,1390,1367
94-95,Taugr\xe9s,3,38,23,15,3291,3170,7768,3527,3291,2415,716,744
94-95,Real Madrid Teka,4,38,23,15,3090,2875,7718,3214,3090,4097,1124,919
94-95,Amway Zaragoza,5,38,23,15,3381,3311,7644,3326,3381,3933,1549,1465
94-95,Tdk Manresa,6,38,21,17,2943,2875,7746,2913,2943,3868,1417,1190
94-95,Estudiantes Caja Postal,7,38,20,18,3201,3129,7692,3405,3201,4421,1729,1664
94-95,Festina Andorra,8,38,20,18,3035,3048,7646,3030,3035,3821,1149,1229
94-95,Baloncesto Le\xf3n,9,38,19,19,2942,2894,7644,2752,2942,4141,1571,1215
94-95,Caja San Fernando,10,38,19,19,3040,3033,7644,3100,3040,3713,1145,1100
94-95,F\xf3rum Valladolid,11,38,19,19,3162,3182,7620,3150,3162,2659,995,899
94-95,C. Baloncesto Murcia,12,38,18,20,3239,3271,7719,3196,3239,3100,877,597
94-95,C\xe1ceres C.B.,13,38,17,21,2970,3043,7719,2792,2970,3932,1261,1011
94-95,7Up Joventut,14,38,17,21,2938,3014,7742,2814,2938,3818,1459,1273
94-95,Coren Orense,15,38,17,21,3018,3125,7595,2695,3018,2758,660,373
94-95,Baloncesto Salamanca,16,38,17,21,2881,2947,7694,2737,2881,4713,1284,1161
94-95,Pamesa Valencia,17,38,15,23,3060,3140,7694,2909,3060,3845,1023,628
94-95,Valvi Girona,18,38,15,23,2886,2967,7641,2648,2886,3605,1117,813
94-95,Somontano Huesca,19,38,12,26,2937,3138,7616,2664,2937,4266,1265,941
94-95,Breog\xe1n Lugo,20,38,10,28,2942,3211,7693,2783,2942,4098,1031,867
13-14,Real Madrid,1,34,32,2,3001,2480,6792,2605,3001,3313,1705,1308
13-14,Valencia Basket Club,2,34,30,4,2930,2554,6816,1880,2930,1960,765,431
13-14,Barcelona,3,34,27,7,2785,2382,6795,2015,2785,1613,591,397
13-14,Unicaja,4,34,23,11,2745,2467,6792,1390,2745,1921,643,381
13-14,Herbalife Gran Canaria,5,34,22,12,2595,2430,6865,825,2595,3198,1156,386
13-14,Laboral Kutxa,6,34,19,15,2777,2702,6842,375,2777,903,341,76
13-14,Cajasol,7,34,18,16,2543,2545,6818,-10,2543,1716,598,-41
13-14,CAI Zaragoza,8,34,18,16,2647,2591,6791,280,2647,1818,521,-33
