temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana
10-11,Cajasol,11,34,16,18,2513,2499,6819,2454,2513,1879,669,594
10-11,Asefa Estudiantes,12,34,16,18,2476,2540,6792,2463,2476,1399,398,439
10-11,DKV Joventut,13,34,14,20,2586,2827,6791,2468,2586,2365,713,843
10-11,Lagun Aro GBC,14,34,12,22,2510,2594,6843,2353,2510,3374,1102,1090
10-11,Assignia Manresa,15,34,10,24,2222,2428,6818,2038,2222,3780,1153,1092
10-11,Meridiano Alicante,16,34,9,25,2348,2461,6819,2144,2348,1805,377,427
10-11,Menorca Basquet,17,34,7,27,2325,2596,6844,2120,2325,1439,358,177
10-11,C.B. Granada,18,34,7,27,2351,2627,6794,2190,2351,1220,310,259
00-01,F.C. Barcelona,1,34,29,5,3055,2613,6866,3356,3055,3046,1366,1688
00-01,Real Madrid,2,34,27,7,2788,2519,6817,3003,2788,3342,1375,1379
00-01,TAU Cer\xe1mica,3,34,27,7,2888,2452,6820,3120,2888,490,162,163
00-01,Unicaja,4,34,27,7,2883,2582,6818,3014,2883,1873,714,589
00-01,Pamesa Valencia,5,34,22,12,2760,2622,6818,3019,2760,4023,1366,1374
00-01,Adecco Estudiantes,6,34,21,13,2767,2698,6819,2736,2767,4289,1671,1899
00-01,Jabones Pardo Fuenlabrada,7,34,20,14,2752,2669,6845,2738,2752,4045,1430,1430
00-01,F\xf3rum Valladolid C.B.,8,34,16,18,2759,2795,6846,2678,2759,4871,1775,1477
00-01,Casademont Girona,9,34,15,19,2733,2797,6919,2747,2733,2917,912,905
00-01,C\xe1ceres C.B.,10,34,14,20,2650,2732,6843,2523,2650,4289,1741,1454
00-01,Breog\xe1n Universidade,11,34,13,21,2669,2722,6794,2523,2669,4237,1486,1184
00-01,Caja San Fernando,12,34,13,21,2605,2642,6867,2526,2605,2610,837,784
00-01,Canarias Telecom,13,34,12,22,2591,2808,6794,2471,2591,3157,1061,836
00-01,Joventut Badalona,14,34,11,23,2692,2820,6869,2635,2692,3372,1285,1186
00-01,Gij\xf3n Baloncesto,15,34,11,23,2643,2823,6819,2706,2643,3343,1142,1008
00-01,Cantabria Lobos,16,34,10,24,2484,2894,6841,2182,2484,4526,1416,1061
00-01,Proaguas Costablanca,17,34,9,25,2554,2846,6844,2353,2554,3111,1131,887
00-01,C. Ourense Baloncesto,18,34,9,25,2630,2869,6893,2446,2630,4066,1404,1165
90-91,Montigal\xe1 Joventut,1,34,30,4,3091,2550,6843,3451,3091,4381,1945,2006
90-91,F.C. Barcelona,2,34,26,8,2819,2443,6843,3073,2819,4147,1626,1578
90-91,Estudiantes Caja Postal,3,34,25,9,2862,2637,6884,3179,2862,4525,1683,1835
90-91,Real Madrid Otaysa,4,34,24,10,2745,2575,6846,3081,2745,3926,1474,1546
90-91,Taugr\xe9s,5,34,21,13,2796,2669,6795,2993,2796,2011,437,536
90-91,CAI Zaragoza,6,34,20,14,3135,2929,6869,3220,3135,4563,1589,1661
90-91,F\xf3rum Valladolid,7,34,20,14,2722,2695,6862,2754,2722,3240,1016,879
90-91,Valvi Girona,8,34,18,16,2695,2668,6832,2636,2695,3907,1160,994
90-91,Atl\xe9tico Madrid Villalba,9,34,17,17,2648,2744,6844,2583,2648,4521,1092,836
90-91,Mayoral Maristas,10,34,16,18,2665,2658,6846,2655,2665,4470,1231,1141
90-91,Huesca La Magia,11,34,16,18,2648,2612,6839,2586,2648,4475,1285,1119
90-91,Caja Ronda,12,34,15,19,2435,2534,6819,2397,2435,4466,1236,1049
90-91,Caixa Ourense,13,34,15,19,2749,2984,6818,2646,2749,4334,1430,1203
90-91,Pamesa Valencia,14,34,15,19,2615,2628,6818,2788,2615,3644,1150,1071
90-91,Tdk Manresa,15,34,15,19,2625,2751,6870,2740,2625,4370,1363,951
90-91,Dyc Breog\xe1n,16,34,15,19,2550,2669,6818,2392,2550,4325,1222,894
90-91,Caja San Fernando,17,34,15,19,2759,2812,6844,2735,2759,4329,1424,1174
90-91,Zumos Juver Murcia,18,34,15,19,2696,2746,6842,2680,2696,4390,1407,1258
90-91,Grupo Ifa Granollers,19,34,14,20,2712,2819,6792,2674,2712,4769,1813,1717
90-91,C.B. Elos\xfaa Le\xf3n,20,34,13,21,2853,2847,6944,2733,2853,4414,1439,1209
90-91,Cajabilbao,21,34,12,22,2782,2911,6910,2709,2782,4440,1314,1154
90-91,Oar Ferrol,22,34,12,22,2565,2686,6818,2588,2565,4482,1420,1237
90-91,Cajacanarias,23,34,10,24,2820,3055,6795,2345,2820,4282,1362,815
90-91,Puleva Baloncesto Granada,24,34,9,25,2534,2899,6844,2264,2534,4437,1393,1013
09-10,Regal FC Barcelona,1,34,31,3,2736,2202,6818,3234,2736,3389,1333,1698
09-10,Caja Laboral,2,34,27,7,2734,2484,6791,2956,2734,1800,608,706
09-10,Real Madrid,3,34,27,7,2762,2442,6894,3039,2762,2067,798,914
09-10,Power Electronics Valencia,4,34,23,11,2637,2563,6793,2753,2637,2145,845,945
09-10,Cajasol,5,34,19,15,2406,2334,6817,2347,2406,1979,673,734
09-10,Unicaja,6,34,19,15,2721,2545,6812,2868,2721,2133,724,920
09-10,Asefa Estudiantes,7,34,19,15,2672,2621,6868,2726,2672,1990,633,885
09-10,Gran Canaria 2014,8,34,17,17,2560,2544,6818,2545,2560,615,130,122
09-10,Bizkaia Bilbao Basket,9,34,16,18,2538,2551,6792,2526,2538,2498,869,826
09-10,DKV Joventut,10,34,15,19,2639,2712,6817,2634,2639,2279,712,857
09-10,CB Granada,11,34,15,19,2622,2690,6818,2682,2622,1079,346,340
09-10,Suzuki Manresa,12,34,14,20,2440,2563,6843,2306,2440,3869,1325,1166
09-10,Blancos de Rueda Valladolid,13,34,13,21,2484,2631,6844,2467,2484,1006,288,284
09-10,Lagun Aro GBC,14,34,13,21,2500,2667,6818,2478,2500,2864,960,1052
09-10,Meridiano Alicante,15,34,13,21,2563,2696,6794,2449,2563,2466,790,738
09-10,Ayuda en Acci\xf3n Fuenlabrada,16,34,12,22,2549,2733,6792,2341,2549,1337,333,250
09-10,Xacobeo Blu:sens,17,34,8,26,2520,2814,6841,2272,2520,1310,324,228
09-10,CB Murcia,18,34,5,29,2499,2790,6841,2273,2499,1589,454,343
99-00,F.C. Barcelona,1,34,26,8,2545,2234,6793,2702,2545,3236,1064,1280
99-00,Real Madrid Teka,2,34,23,11,2561,2335,6791,2815,2561,3451,1319,1337
99-00,Adecco Estudiantes,3,34,23,11,2507,2376,6817,2508,2507,4950,1743,1773
99-00,Caja San Fernando,4,34,22,12,2402,2297,6920,2427,2402,2821,812,754
99-00,Tau Cer\xe1mica,5,34,21,13,2696,2500,6817,2927,2696,2405,909,913
99-00,Pamesa Valencia,6,34,20,14,2703,2528,6794,3000,2703,3643,1331,1356
99-00,Canarias Telecom,7,34,19,15,2435,2479,6893,2484,2435,2998,895,871
99-00,Unicaja,8,34,19,15,2412,2370,6845,2460,2412,2291,715,604
99-00,C\xe1ceres C.B.,9,34,17,17,2450,2467,6841,2496,2450,4318,1280,1172
99-00,Casademont Girona,10,34,16,18,2523,2473,6820,2616,2523,2840,835,827
99-00,Pinturas Bruguer Badalona,11,34,16,18,2640,2650,6816,2653,2640,4143,1510,1540
99-00,F\xf3rum Valladolid,12,34,15,19,2342,2444,6818,2193,2342,4554,1494,1335
99-00,Breog\xe1n Universidade,13,34,15,19,2432,2522,6792,2398,2432,4141,1380,1236
99-00,Jabones Pardo Fuenlabrada,14,34,11,23,2471,2563,6871,2369,2471,3624,1059,924
99-00,Cantabria Lobos,15,34,11,23,2345,2619,6791,2146,2345,2483,674,534
99-00,Cabitel Gij\xf3n B.,16,34,11,23,2332,2570,6819,2020,2332,4460,1244,893
99-00,Tdk Manresa,17,34,11,23,2336,2487,6817,2308,2336,4048,1346,1149
99-00,B. Le\xf3n Caja Espa\xf1a,18,34,10,24,2296,2514,6815,1998,2296,3986,1209,1067
08-09,TAU Cer\xe1mica,1,32,28,4,2865,2464,6417,3185,2865,1216,438,570
08-09,Regal FC Barcelona,2,32,26,6,2601,2278,6518,2941,2601,2727,1179,1478
08-09,Unicaja,3,32,24,8,2668,2325,6444,2974,2668,1604,540,734
08-09,Real Madrid,4,32,23,9,2690,2528,6491,2801,2690,2723,1174,1355
08-09,DKV Joventut,5,32,22,10,2647,2525,6390,2752,2647,2544,939,1128
08-09,Kalise Gran Canaria,6,32,20,12,2566,2487,6468,2745,2566,728,162,390
08-09,Pamesa Valencia,7,32,16,16,2452,2416,6395,2374,2452,2385,865,928
08-09,iurbentia Bilbao Basket,8,32,15,17,2451,2492,6395,2315,2451,2061,740,685
08-09,ALTA GESTI\xd3N Fuenlabrada,9,32,15,17,2669,2639,6417,2624,2669,2282,933,894
08-09,Ricoh Manresa,10,32,14,18,2382,2503,6495,2429,2382,4385,1409,1566
08-09,C.B. Granada,11,32,12,20,2369,2516,6418,2411,2369,1358,418,366
08-09,Bruesa GBC,12,32,11,21,2448,2589,6494,2360,2448,2743,1006,879
08-09,MMT Estudiantes,13,32,11,21,2473,2586,6441,2412,2473,1995,668,807
08-09,Cajasol,14,32,10,22,2429,2641,6514,2322,2429,2231,636,687
08-09,Club Baloncesto Murcia,15,32,9,23,2347,2636,6419,2318,2347,1766,564,578
08-09,CAI Zaragoza,16,32,8,24,2383,2615,6416,2285,2383,1053,245,259
08-09,ViveMenorca,17,32,8,24,2281,2481,6391,2092,2281,1406,433,319
98-99,F.C. Barcelona,1,34,26,8,2885,2543,6820,3205,2885,3667,1296,1494
98-99,Real Madrid Teka,2,34,26,8,2768,2524,6844,2984,2768,3747,1473,1421
98-99,Caja San Fernando,3,34,25,9,2488,2366,6792,2585,2488,2146,613,573
98-99,Tau Cer\xe1mica,4,34,24,10,2712,2576,6893,2878,2712,1424,471,500
98-99,Adecco Estudiantes,5,34,21,13,2791,2652,6818,2859,2791,4716,1783,1846
98-99,Pamesa Cer\xe1mica,6,34,18,16,2600,2565,6843,2596,2600,3633,1227,1036
98-99,Baloncesto Fuenlabrada,7,34,18,16,2758,2719,6844,2727,2758,3678,1194,1020
98-99,Girona Gavis,8,34,18,16,2696,2692,6795,2670,2696,3420,1203,1130
98-99,Unicaja,9,34,18,16,2577,2532,6867,2573,2577,3444,994,934
98-99,Pinturas Bruguer Badalona,10,34,18,16,2666,2565,6865,2740,2666,3475,1134,1157
98-99,Tdk Manresa,11,34,16,18,2532,2545,6818,2706,2532,3499,1080,1028
98-99,C\xe1ceres C.B.,12,34,14,20,2566,2613,6867,2550,2566,4137,1456,1328
98-99,F\xf3rum Valladolid,13,34,13,21,2574,2625,6867,2490,2574,3729,1112,1059
98-99,Le\xf3n Caja Espa\xf1a,14,34,13,21,2478,2699,6794,2355,2478,3235,935,709
98-99,C.B. Gran Canaria,15,34,13,21,2506,2585,6820,2454,2506,2403,799,668
98-99,Lobos Caja Cantabria,16,34,13,21,2724,2891,6818,2660,2724,3209,925,836
98-99,Covir\xe1n Cervezas Alhambra,17,34,8,26,2436,2730,6867,2285,2436,3511,1031,851
98-99,Recreativos Orenes Murcia,18,34,4,30,2517,2852,6841,2232,2517,3384,1057,766
07-08,Real Madrid,1,34,29,5,2862,2572,6794,3101,2862,2549,1125,1300
07-08,DKV Joventut,2,34,25,9,2980,2650,6792,3253,2980,3404,1580,1896
07-08,AXA F.C. Barcelona,3,34,24,10,2617,2524,6869,2724,2617,1917,732,833
07-08,TAU Cer\xe1mica,4,34,22,12,2867,2604,6844,3026,2867,780,263,284
07-08,Pamesa Valencia,5,34,22,12,2706,2520,6814,2778,2706,2080,761,785
07-08,iurbentia Bilbao Basket,6,34,21,13,2597,2507,6816,2619,2597,1310,529,482
07-08,Akasvayu Girona,7,34,21,13,2726,2685,6819,2957,2726,3343,1351,1861
07-08,Unicaja,8,34,17,17,2721,2648,6867,2837,2721,2214,680,830
07-08,Gran Canaria Grupo Dunas,9,34,16,18,2682,2689,6845,2658,2682,1661,571,652
07-08,Cajasol,10,34,14,20,2701,2764,6845,2604,2701,1634,549,456
07-08,Ricoh Manresa,11,34,14,20,2715,2817,6820,2698,2715,4488,1554,1708
07-08,Alta Gesti\xf3n Fuenlabrada,12,34,13,21,2542,2671,6843,2461,2542,3574,1270,1220
07-08,Polaris World CB Murcia,13,34,13,21,2491,2634,6819,2476,2491,1746,634,775
07-08,MMT Estudiantes,14,34,12,22,2561,2694,6795,2379,2561,2116,799,763
07-08,C.B. Granada,15,34,12,22,2629,2761,6842,2609,2629,1013,315,274
07-08,ViveMenorca,16,34,12,22,2567,2755,6819,2383,2567,1613,445,331
07-08,Grupo Capitol Valladolid,17,34,11,23,2685,2887,6845,2499,2685,2224,627,599
07-08,Grupo Begar Le\xf3n,18,34,8,26,2571,2838,6843,2508,2571,2424,807,745
97-98,Tau Cer\xe1mica,1,34,27,7,2906,2627,6867,3046,2906,2110,736,769
97-98,Real Madrid Teka,2,34,25,9,2782,2507,6815,3002,2782,3616,1314,1246
97-98,Adecco Estudiantes,3,34,24,10,2889,2651,6794,3022,2889,3789,1311,1399
97-98,Festina Joventut,4,34,24,10,3068,2889,6817,3167,3068,2768,1002,885
97-98,F.C. Barcelona Banca Catalana,5,34,21,13,2894,2760,6792,2960,2894,3806,1451,1471
97-98,Tdk Manresa,6,34,21,13,2728,2593,6818,2953,2728,3471,1209,1189
97-98,Unicaja,7,34,20,14,2703,2607,6791,2689,2703,3071,896,860
97-98,Pamesa Valencia,8,34,20,14,2692,2635,6841,2800,2692,2730,1049,984
97-98,F\xf3rum Valladolid,9,34,16,18,2709,2816,6868,2548,2709,3323,1005,866
97-98,C.B. Gran Canaria,10,34,15,19,2833,2838,6793,2854,2833,2508,805,572
97-98,Le\xf3n Caja Espa\xf1a,11,34,14,20,2646,2811,6791,2454,2646,3702,1235,1003
97-98,Valvi Girona,12,34,14,20,2917,2983,6817,2882,2917,3034,966,816
97-98,Caja San Fernando,13,34,13,21,2677,2757,6864,2570,2677,3692,1126,984
97-98,Caja Cantabria,14,34,12,22,2720,2821,6842,2607,2720,3559,1184,903
97-98,C\xe1ceres C.B.,15,34,12,22,2605,2799,6816,2412,2605,3575,1185,1202
97-98,Covir\xe1n Sierra Nevada Granada,16,34,11,23,2715,2823,6791,2623,2715,3607,1087,987
97-98,C.B. Ciudad De Huelva,17,34,9,25,2603,2921,6866,2431,2603,2443,776,592
97-98,Ourense Xacobeo 99,18,34,8,26,2578,2827,6866,2362,2578,2916,751,525
06-07,TAU Cer\xe1mica,1,34,26,8,2858,2547,6793,3053,2858,409,97,100
06-07,Real Madrid,2,34,25,9,2836,2532,6818,3058,2836,2308,870,1101
06-07,DKV Joventut,3,34,23,11,2736,2575,6816,2784,2736,2588,1012,1093
06-07,Winterthur F.C. Barcelona,4,34,23,11,2656,2434,6820,2897,2656,3215,1301,1573
06-07,Akasvayu Girona,5,34,21,13,2739,2638,6818,2847,2739,2165,863,1158
06-07,Gran Canaria Grupo Dunas,6,34,21,13,2648,2591,6895,2644,2648,1833,540,715
06-07,Pamesa Valencia,7,34,19,15,2573,2553,6816,2458,2573,1624,507,491
06-07,Unicaja,8,34,17,17,2578,2438,6817,2679,2578,2901,1135,1263
06-07,MMT Estudiantes,9,34,16,18,2635,2744,6843,2586,2635,3039,980,1061
06-07,Lagun Aro Bilbao Basket,10,34,15,19,2516,2610,6819,2364,2516,2231,765,664
06-07,C.B. Granada,11,34,15,19,2648,2726,6868,2644,2648,2313,767,743
06-07,Alta Gesti\xf3n Fuenlabrada,12,34,14,20,2508,2583,6842,2582,2508,4660,1711,1774
06-07,Caja San Fernando,13,34,14,20,2629,2804,6843,2447,2629,1796,600,524
06-07,Polaris World CB Murcia,14,34,13,21,2506,2620,6791,2412,2506,1863,603,629
06-07,ViveMenorca,15,34,12,22,2542,2705,6842,2439,2542,1841,591,576
06-07,Grupo Capitol Valladolid,16,34,12,22,2555,2678,6816,2488,2555,2438,746,721
06-07,Etosa Alicante,17,34,12,22,2469,2678,6795,2214,2469,1676,465,553
06-07,Bruesa GBC,18,34,8,26,2477,2653,6817,2256,2477,3422,1124,905
96-97,Real Madrid Teka,1,34,29,5,2918,2582,6843,3178,2918,4091,1458,1398
96-97,F.C. Barcelona Banca Catalana,2,34,27,7,2962,2643,6842,3244,2962,4082,1608,1713
96-97,Estudiantes Argentaria,3,34,21,13,2804,2726,6842,2928,2804,3875,1332,1435
96-97,Festina Joventut,4,34,21,13,2864,2703,6867,2857,2864,2894,947,807
96-97,Taugr\xe9s,5,34,20,14,2831,2710,6818,2889,2831,3119,964,801
96-97,Le\xf3n Caja Espa\xf1a,6,34,20,14,2819,2824,6819,2709,2819,3621,1264,1099
96-97,Unicaja,7,34,19,15,2699,2611,6868,2556,2699,3860,1289,1212
96-97,Tdk Manresa,8,34,19,15,2666,2538,6869,2766,2666,3674,1391,1318
96-97,Caja San Fernando,9,34,19,15,2724,2693,6792,2726,2724,2877,991,882
96-97,C\xe1ceres C.B.,10,34,18,16,2812,2759,6841,2855,2812,3359,1174,1042
96-97,Pamesa Valencia,11,34,17,17,2763,2797,6817,2793,2763,2450,730,697
96-97,C.B. Gran Canaria,12,34,17,17,2748,2717,6868,2735,2748,2620,710,533
96-97,Covir\xe1n Granada,13,34,14,20,2881,2961,6820,2925,2881,3198,836,666
96-97,Valvi Girona,14,34,14,20,2521,2685,6844,2421,2521,3496,1101,794
96-97,F\xf3rum Valladolid,15,34,12,22,2738,2875,6791,2618,2738,2744,861,674
96-97,Xacobeo 99 Ourense,16,34,10,24,2568,2774,6819,2304,2568,2733,792,604
96-97,C.B. Murcia Artel,17,34,5,29,2588,2913,6790,2335,2588,2886,786,631
96-97,Baloncesto Fuenlabrada,18,34,4,30,2527,2922,6817,2211,2527,3309,957,787
