temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
15-16,Rio Natura Monbus Obradoiro,15,34,10,24,2564,2685,6890,-605,2564,1762,541,-123,17,7,9,4,1,3,0.4,0.5,0.2,0.1,0.2,5128,0.3,0.7,2023,0.2,0.8,-482,0.2,0.8
15-16,ICL Manresa,16,34,10,24,2383,2669,6794,-1445,2383,1199,297,-363,20,6,12,3,2,3,0.3,0.6,0.2,0.1,0.2,5595,0.2,0.8,2086,0.1,0.9,-1082,0.3,0.7
15-16,Movistar Estudiantes,17,34,9,25,2564,2789,6843,-1125,2564,4407,1685,-740,21,11,7,6,4,4,0.5,0.3,0.3,0.2,0.2,2436,0.6,0.4,879,0.7,0.3,-385,0.7,0.3
15-16,RETAbet.es GBC,18,34,7,27,2477,2895,6792,-2090,2477,3926,1315,-1202,19,10,7,3,4,5,0.5,0.4,0.2,0.2,0.3,2866,0.6,0.4,1162,0.5,0.5,-888,0.6,0.4
05-06,Unicaja,1,34,26,8,2753,2512,6794,3067,2753,2415,984,1122,16,6,3,12,0,1,0.4,0.2,0.8,0.0,0.1,4379,0.4,0.6,1769,0.4,0.6,1945,0.4,0.6
05-06,TAU Cer\xe1mica,2,34,25,9,2855,2607,6796,3139,2855,531,167,260,14,4,3,11,0,0,0.3,0.2,0.8,0.0,0.0,6265,0.1,0.9,2688,0.1,0.9,2879,0.1,0.9
05-06,Winterthur F.C. Barcelona,3,34,24,10,2747,2551,6816,2989,2747,2403,994,1016,17,7,1,16,0,0,0.4,0.1,0.9,0.0,0.0,4413,0.4,0.6,1753,0.4,0.6,1973,0.3,0.7
05-06,DKV Joventut,4,34,23,11,2834,2645,6792,2927,2834,2401,1068,1141,16,5,1,14,0,1,0.3,0.1,0.9,0.0,0.1,4391,0.4,0.6,1766,0.4,0.6,1786,0.4,0.6
05-06,Gran Canaria Grupo Dunas,5,34,20,14,2568,2493,6819,2514,2568,1406,421,382,13,3,3,7,0,3,0.2,0.2,0.5,0.0,0.2,5413,0.2,0.8,2147,0.2,0.8,2132,0.2,0.8
05-06,Real Madrid,6,34,19,15,2640,2485,6869,2689,2640,1320,526,702,16,5,1,13,1,1,0.3,0.1,0.8,0.1,0.1,5549,0.2,0.8,2114,0.2,0.8,1987,0.3,0.7
05-06,Akasvayu Girona,7,34,18,16,2739,2701,6793,2754,2739,1961,769,843,14,4,2,11,0,1,0.3,0.1,0.8,0.0,0.1,4832,0.3,0.7,1970,0.3,0.7,1911,0.3,0.7
05-06,Adecco Estudiantes,8,34,17,17,2770,2832,6816,2851,2770,4900,1721,1880,16,11,1,15,0,0,0.7,0.1,0.9,0.0,0.0,1916,0.7,0.3,1049,0.6,0.4,971,0.7,0.3
05-06,Pamesa Valencia,9,34,16,18,2638,2693,6793,2481,2638,1180,382,323,16,6,5,11,0,0,0.4,0.3,0.7,0.0,0.0,5613,0.2,0.8,2256,0.1,0.9,2158,0.1,0.9
05-06,Alta Gesti\xf3n Fuenlabrada,10,34,15,19,2621,2706,6816,2517,2621,3922,1544,1623,16,9,3,11,1,1,0.6,0.2,0.7,0.1,0.1,2894,0.6,0.4,1077,0.6,0.4,894,0.6,0.4
05-06,Caja San Fernando,11,34,14,20,2662,2764,6818,2712,2662,2144,594,612,17,8,3,12,0,2,0.5,0.2,0.7,0.0,0.1,4674,0.3,0.7,2068,0.2,0.8,2100,0.2,0.8
05-06,Etosa Alicante,12,34,14,20,2574,2639,6816,2584,2574,3346,1137,1310,15,7,4,11,0,0,0.5,0.3,0.7,0.0,0.0,3470,0.5,0.5,1437,0.4,0.6,1274,0.5,0.5
05-06,C.B. Granada,13,34,14,20,2620,2755,6815,2529,2620,3062,1048,963,17,7,4,13,0,0,0.4,0.2,0.8,0.0,0.0,3753,0.4,0.6,1572,0.4,0.6,1566,0.4,0.6
05-06,F\xf3rum Valladolid,14,34,13,21,2706,2767,6842,2692,2706,2163,664,622,17,7,6,8,2,1,0.4,0.4,0.5,0.1,0.1,4679,0.3,0.7,2042,0.2,0.8,2070,0.2,0.8
05-06,Lagun Aro Bilbao Basket,15,34,13,21,2534,2672,6793,2479,2534,2053,612,603,13,4,2,10,0,1,0.3,0.2,0.8,0.0,0.1,4740,0.3,0.7,1922,0.2,0.8,1876,0.2,0.8
05-06,Llanera Menorca,16,34,12,22,2600,2772,6792,2424,2600,2685,971,819,17,7,5,9,2,1,0.4,0.3,0.5,0.1,0.1,4107,0.4,0.6,1629,0.4,0.6,1605,0.3,0.7
05-06,Ricoh Manresa,17,34,12,22,2599,2722,6820,2555,2599,3784,1305,1320,13,8,1,11,1,0,0.6,0.1,0.8,0.1,0.0,3036,0.6,0.4,1294,0.5,0.5,1235,0.5,0.5
05-06,Leche R\xedo,18,34,11,23,2580,2724,6867,2246,2580,1812,500,375,16,8,5,8,0,3,0.5,0.3,0.5,0.0,0.2,5055,0.3,0.7,2080,0.2,0.8,1871,0.2,0.8
95-96,F.C. Barcelona Banca Catalana,1,38,30,8,3399,3077,7642,3563,3399,4353,1551,1550,16,13,0,16,0,0,0.8,0.0,1.0,0.0,0.0,3289,0.6,0.4,1848,0.5,0.5,2013,0.4,0.6
95-96,Real Madrid,2,38,28,10,3243,2950,7619,3392,3243,3547,1038,1130,12,8,0,11,1,0,0.7,0.0,0.9,0.1,0.0,4072,0.5,0.5,2205,0.3,0.7,2262,0.3,0.7
95-96,Unicaja,3,38,26,12,3173,2975,7670,3126,3173,4333,1517,1559,12,8,1,11,0,0,0.7,0.1,0.9,0.0,0.0,3337,0.6,0.4,1656,0.5,0.5,1567,0.5,0.5
95-96,Estudiantes Argentaria,4,38,25,13,3250,3050,7595,3409,3250,4166,1667,1616,13,9,0,13,0,0,0.7,0.0,1.0,0.0,0.0,3429,0.5,0.5,1583,0.5,0.5,1793,0.5,0.5
95-96,Amway Zaragoza,5,38,25,13,3346,3231,7593,3356,3346,4114,1766,1567,15,9,0,14,1,0,0.6,0.0,0.9,0.1,0.0,3479,0.5,0.5,1580,0.5,0.5,1789,0.5,0.5
95-96,Tdk Manresa,6,38,24,14,3094,2953,7669,3114,3094,4244,1611,1500,14,9,1,13,0,0,0.6,0.1,0.9,0.0,0.0,3425,0.6,0.4,1483,0.5,0.5,1614,0.5,0.5
95-96,Caja San Fernando,7,38,23,15,3242,3106,7617,3298,3242,3482,1048,711,15,9,1,13,0,1,0.6,0.1,0.9,0.0,0.1,4135,0.5,0.5,2194,0.3,0.7,2587,0.2,0.8
95-96,Taugr\xe9s,8,38,21,17,3287,3181,7590,3314,3287,2386,685,560,19,10,2,15,2,0,0.5,0.1,0.8,0.1,0.0,5204,0.3,0.7,2602,0.2,0.8,2754,0.2,0.8
95-96,Baloncesto Salamanca,9,38,19,19,3032,3078,7643,3010,3032,3893,1112,1020,15,9,4,8,1,2,0.6,0.3,0.5,0.1,0.1,3750,0.5,0.5,1920,0.4,0.6,1990,0.3,0.7
95-96,C\xe1ceres C.B.,10,38,19,19,3281,3213,7617,3273,3281,3709,1233,1037,16,11,1,15,0,0,0.7,0.1,0.9,0.0,0.0,3908,0.5,0.5,2048,0.4,0.6,2236,0.3,0.7
95-96,Valvi Girona,11,38,19,19,3147,3089,7643,2954,3147,3840,1218,1011,15,9,2,10,1,2,0.6,0.1,0.7,0.1,0.1,3803,0.5,0.5,1929,0.4,0.6,1943,0.3,0.7
95-96,Baloncesto Le\xf3n,12,38,18,20,3009,3041,7620,2783,3009,3966,1475,1064,13,9,2,9,0,2,0.7,0.2,0.7,0.0,0.2,3654,0.5,0.5,1534,0.5,0.5,1719,0.4,0.6
95-96,Joventut Badalona,13,38,17,21,3076,3151,7668,2831,3076,4244,1469,1302,17,10,3,14,0,0,0.6,0.2,0.8,0.0,0.0,3424,0.6,0.4,1607,0.5,0.5,1529,0.5,0.5
95-96,C.B. Gran Canaria,14,38,16,22,3180,3278,7693,3020,3180,3848,1128,941,13,10,1,12,0,0,0.8,0.1,0.9,0.0,0.0,3845,0.5,0.5,2052,0.4,0.6,2079,0.3,0.7
95-96,F\xf3rum Valladolid,15,38,15,23,3036,3160,7667,3021,3036,3700,1300,1069,13,8,0,12,1,0,0.6,0.0,0.9,0.1,0.0,3967,0.5,0.5,1736,0.4,0.6,1952,0.4,0.6
95-96,C.B. Murcia,16,38,15,23,2963,3102,7719,2888,2963,3801,1173,961,16,10,3,11,2,0,0.6,0.2,0.7,0.1,0.0,3918,0.5,0.5,1790,0.4,0.6,1927,0.3,0.7
95-96,Xacobeo 99 Ourense,17,38,13,25,3044,3301,7593,2697,3044,3639,1018,761,15,9,0,11,1,3,0.6,0.0,0.7,0.1,0.2,3954,0.5,0.5,2026,0.3,0.7,1936,0.3,0.7
95-96,Festina Andorra,18,38,10,28,3016,3278,7642,2784,3016,4060,1308,1155,15,9,2,8,2,3,0.6,0.1,0.5,0.1,0.2,3582,0.5,0.5,1708,0.4,0.6,1629,0.4,0.6
95-96,Grupo Agb Huesca,19,38,9,29,3176,3436,7641,2898,3176,3636,1096,737,16,10,2,12,1,1,0.6,0.1,0.8,0.1,0.1,4005,0.5,0.5,2080,0.3,0.7,2161,0.3,0.7
95-96,Gij\xf3n Baloncesto,20,38,8,30,2893,3237,7618,2677,2893,3801,1196,709,13,8,6,4,3,0,0.6,0.5,0.3,0.2,0.0,3817,0.5,0.5,1697,0.4,0.6,1968,0.3,0.7
14-15,Real Madrid,1,34,27,7,2903,2640,6816,1315,2903,2735,1337,653,15,5,0,14,1,0,0.3,0.0,0.9,0.1,0.0,4081,0.4,0.6,1566,0.5,0.5,662,0.5,0.5
14-15,FC Barcelona,2,34,25,9,2806,2455,6817,1755,2806,794,353,266,18,4,3,13,0,2,0.2,0.2,0.7,0.0,0.1,6023,0.1,0.9,2453,0.1,0.9,1489,0.2,0.8
14-15,Unicaja,3,34,25,9,2738,2583,6869,775,2738,1325,438,274,16,2,1,13,1,1,0.1,0.1,0.8,0.1,0.1,5544,0.2,0.8,2300,0.2,0.8,501,0.4,0.6
14-15,Bilbao Basket,4,34,20,14,2652,2608,6869,220,2652,1578,696,74,13,3,1,10,1,1,0.2,0.1,0.8,0.1,0.1,5291,0.2,0.8,1956,0.3,0.7,146,0.3,0.7
14-15,Valencia Basket Club,5,34,20,14,2817,2675,6793,710,2817,2382,934,267,16,7,3,13,0,0,0.4,0.2,0.8,0.0,0.0,4411,0.4,0.6,1883,0.3,0.7,443,0.4,0.6
14-15,Laboral Kutxa Baskonia,6,34,19,15,2834,2669,6788,825,2834,769,388,59,24,2,8,15,1,0,0.1,0.3,0.6,0.0,0.0,6019,0.1,0.9,2446,0.1,0.9,766,0.1,0.9
14-15,FIATC Joventut,7,34,19,15,2652,2624,6843,138,2652,3453,1119,28,14,8,0,13,0,1,0.6,0.0,0.9,0.0,0.1,3390,0.5,0.5,1533,0.4,0.6,110,0.2,0.8
14-15,Herbalife Gran Canaria,8,34,18,16,2638,2636,6817,10,2638,2051,841,63,19,7,3,14,1,1,0.4,0.2,0.7,0.1,0.1,4766,0.3,0.7,1797,0.3,0.7,-53,6.3,-5.3
14-15,CAI Zaragoza,9,34,18,16,2584,2643,6842,-295,2584,1856,416,-168,16,6,3,11,1,1,0.4,0.2,0.7,0.1,0.1,4986,0.3,0.7,2168,0.2,0.8,-127,0.6,0.4
14-15,UCAM Murcia,10,34,17,17,2621,2660,6820,-195,2621,1741,663,-274,13,5,1,11,1,0,0.4,0.1,0.8,0.1,0.0,5079,0.3,0.7,1958,0.3,0.7,79,1.4,-0.4
14-15,Iberostar Tenerife,11,34,16,18,2651,2619,6818,160,2651,3024,991,-1,16,8,3,12,1,0,0.5,0.2,0.8,0.1,0.0,3794,0.4,0.6,1660,0.4,0.6,161,0.0,1.0
14-15,Rio Natura Monbus Obradoiro,12,34,15,19,2467,2535,6820,-340,2467,2387,810,-173,12,5,3,8,0,1,0.4,0.2,0.7,0.0,0.1,4433,0.4,0.6,1657,0.3,0.7,-167,0.5,0.5
14-15,Movistar Estudiantes,13,34,14,20,2509,2615,6791,-530,2509,3886,1365,-323,19,12,4,13,1,1,0.6,0.2,0.7,0.1,0.1,2905,0.6,0.4,1144,0.5,0.5,-207,0.6,0.4
14-15,MoraBanc Andorra,14,34,12,22,2549,2615,6817,-330,2549,2250,758,-121,17,5,3,12,1,1,0.3,0.2,0.7,0.1,0.1,4567,0.3,0.7,1791,0.3,0.7,-209,0.4,0.6
14-15,Baloncesto Sevilla,15,34,12,22,2539,2743,6842,-1020,2539,2859,1027,-406,15,5,6,9,0,0,0.3,0.4,0.6,0.0,0.0,3983,0.4,0.6,1512,0.4,0.6,-614,0.4,0.6
14-15,"Or Manresa""]",16,34,11,23,2456,2672,6789,-1080,2456,1786,576,-312,22,8,6,13,2,1,0.4,0.3,0.6,0.1,0.0,5003,0.3,0.7,1880,0.2,0.8,-768,0.3,0.7
14-15,Gipuzkoa Basket,17,34,10,24,2409,2648,6894,-1197,2409,3561,1241,-754,14,8,3,10,0,1,0.6,0.2,0.7,0.0,0.1,3333,0.5,0.5,1168,0.5,0.5,-443,0.6,0.4
14-15,Montakit Fuenlabrada,18,34,8,26,2533,2718,6815,-925,2533,2016,452,-331,19,6,3,13,0,3,0.3,0.2,0.7,0.0,0.2,4799,0.3,0.7,2081,0.2,0.8,-594,0.4,0.6
04-05,TAU Cer\xe1mica,1,34,28,6,3106,2692,6842,3467,3106,1738,696,896,15,4,1,13,1,0,0.3,0.1,0.9,0.1,0.0,5104,0.3,0.7,2410,0.2,0.8,2571,0.3,0.7
04-05,Real Madrid,2,34,26,8,2720,2457,6791,2785,2720,1655,707,721,17,6,1,14,1,1,0.4,0.1,0.8,0.1,0.1,5136,0.2,0.8,2013,0.3,0.7,2064,0.3,0.7
04-05,Winterthur F.C. Barcelona,3,34,24,10,2723,2579,6842,2893,2723,2983,1144,1261,17,10,0,15,2,0,0.6,0.0,0.9,0.1,0.0,3859,0.4,0.6,1579,0.4,0.6,1632,0.4,0.6
04-05,Etosa Alicante,4,34,23,11,2813,2629,6794,2956,2813,4208,1593,1891,13,8,0,13,0,0,0.6,0.0,1.0,0.0,0.0,2586,0.6,0.4,1220,0.6,0.4,1065,0.6,0.4
04-05,Unicaja,5,34,23,11,2775,2531,6816,2966,2775,3092,1298,1527,19,7,3,14,1,1,0.4,0.2,0.7,0.1,0.1,3724,0.5,0.5,1477,0.5,0.5,1439,0.5,0.5
04-05,Adecco Estudiantes,6,34,21,13,2915,2773,6895,3111,2915,3915,1505,1786,14,8,0,13,0,1,0.6,0.0,0.9,0.0,0.1,2980,0.6,0.4,1410,0.5,0.5,1325,0.6,0.4
04-05,DKV Joventut,7,34,20,14,2840,2719,6819,2988,2840,3040,1221,1249,18,9,3,13,2,0,0.5,0.2,0.7,0.1,0.0,3779,0.4,0.6,1619,0.4,0.6,1739,0.4,0.6
04-05,Gran Canaria,8,34,19,15,2539,2446,6843,2538,2539,2349,792,848,17,9,3,13,0,1,0.5,0.2,0.8,0.0,0.1,4494,0.3,0.7,1747,0.3,0.7,1690,0.3,0.7
04-05,Pamesa Valencia,9,34,18,16,2950,2893,6916,3082,2950,1928,659,518,22,7,2,18,1,1,0.3,0.1,0.8,0.0,0.0,4988,0.3,0.7,2291,0.2,0.8,2564,0.2,0.8
04-05,Caja San Fernando,10,34,14,20,2786,2841,6843,2717,2786,1531,476,495,18,8,5,13,0,0,0.4,0.3,0.7,0.0,0.0,5312,0.2,0.8,2310,0.2,0.8,2222,0.2,0.8
04-05,Leche R\xedo,11,34,13,21,2814,2889,6844,2504,2814,2462,756,807,17,7,6,10,0,1,0.4,0.4,0.6,0.0,0.1,4382,0.4,0.6,2058,0.3,0.7,1697,0.3,0.7
04-05,F\xf3rum Valladolid,12,34,13,21,2677,2868,6795,2595,2677,3228,996,869,15,7,2,12,0,1,0.5,0.1,0.8,0.0,0.1,3567,0.5,0.5,1681,0.4,0.6,1726,0.3,0.7
04-05,C.B. Granada,13,34,12,22,2632,2881,6845,2486,2632,3211,1186,1031,15,9,1,11,1,2,0.6,0.1,0.7,0.1,0.1,3634,0.5,0.5,1446,0.5,0.5,1455,0.4,0.6
04-05,Ricoh Manresa,14,34,12,22,2649,2783,6792,2671,2649,3784,1280,1255,15,9,2,11,0,2,0.6,0.1,0.7,0.0,0.1,3008,0.6,0.4,1369,0.5,0.5,1416,0.5,0.5
04-05,Lagun Aro Bilbao Basket,15,34,12,22,2634,2801,6917,2540,2634,2678,898,860,17,8,3,12,0,2,0.5,0.2,0.7,0.0,0.1,4239,0.4,0.6,1736,0.3,0.7,1680,0.3,0.7
04-05,Casademont Girona,16,34,11,23,2786,2996,6894,2694,2786,1118,307,282,17,7,1,13,1,2,0.4,0.1,0.8,0.1,0.1,5776,0.2,0.8,2479,0.1,0.9,2412,0.1,0.9
04-05,Unelco Tenerife,17,34,9,25,2447,2763,6791,2130,2447,1309,489,375,17,6,4,8,3,2,0.4,0.2,0.5,0.2,0.1,5482,0.2,0.8,1958,0.2,0.8,1755,0.2,0.8
04-05,Plus Pujol Lleida,18,34,8,26,2667,2932,6841,2529,2667,2946,1135,1049,22,13,8,8,2,4,0.6,0.4,0.4,0.1,0.2,3895,0.4,0.6,1532,0.4,0.6,1480,0.4,0.6
94-95,F.C. Barcelona Banca Catalana,1,38,30,8,3219,2937,7590,3406,3219,4919,2004,2047,17,12,1,15,1,0,0.7,0.1,0.9,0.1,0.0,2671,0.6,0.4,1215,0.6,0.4,1359,0.6,0.4
94-95,Unicaja,2,38,25,13,3166,3031,7793,3150,3166,4225,1390,1367,14,10,1,13,0,0,0.7,0.1,0.9,0.0,0.0,3568,0.5,0.5,1776,0.4,0.6,1783,0.4,0.6
94-95,Taugr\xe9s,3,38,23,15,3291,3170,7768,3527,3291,2415,716,744,13,8,0,12,1,0,0.6,0.0,0.9,0.1,0.0,5353,0.3,0.7,2575,0.2,0.8,2783,0.2,0.8
94-95,Real Madrid Teka,4,38,23,15,3090,2875,7718,3214,3090,4097,1124,919,15,10,1,11,3,0,0.7,0.1,0.7,0.2,0.0,3621,0.5,0.5,1966,0.4,0.6,2295,0.3,0.7
94-95,Amway Zaragoza,5,38,23,15,3381,3311,7644,3326,3381,3933,1549,1465,11,8,1,8,2,0,0.7,0.1,0.7,0.2,0.0,3711,0.5,0.5,1832,0.5,0.5,1861,0.4,0.6
94-95,Tdk Manresa,6,38,21,17,2943,2875,7746,2913,2943,3868,1417,1190,10,7,0,10,0,0,0.7,0.0,1.0,0.0,0.0,3878,0.5,0.5,1526,0.5,0.5,1723,0.4,0.6
94-95,Estudiantes Caja Postal,7,38,20,18,3201,3129,7692,3405,3201,4421,1729,1664,15,10,2,12,1,0,0.7,0.1,0.8,0.1,0.0,3271,0.6,0.4,1472,0.5,0.5,1741,0.5,0.5
94-95,Festina Andorra,8,38,20,18,3035,3048,7646,3030,3035,3821,1149,1229,13,10,3,10,0,0,0.8,0.2,0.8,0.0,0.0,3825,0.5,0.5,1886,0.4,0.6,1801,0.4,0.6
94-95,Baloncesto Le\xf3n,9,38,19,19,2942,2894,7644,2752,2942,4141,1571,1215,13,7,0,11,2,0,0.5,0.0,0.8,0.2,0.0,3503,0.5,0.5,1371,0.5,0.5,1537,0.4,0.6
94-95,Caja San Fernando,10,38,19,19,3040,3033,7644,3100,3040,3713,1145,1100,13,9,1,10,2,0,0.7,0.1,0.8,0.2,0.0,3931,0.5,0.5,1895,0.4,0.6,2000,0.4,0.6
94-95,F\xf3rum Valladolid,11,38,19,19,3162,3182,7620,3150,3162,2659,995,899,11,6,0,10,1,0,0.5,0.0,0.9,0.1,0.0,4961,0.3,0.7,2167,0.3,0.7,2251,0.3,0.7
94-95,C. Baloncesto Murcia,12,38,18,20,3239,3271,7719,3196,3239,3100,877,597,12,8,0,12,0,0,0.7,0.0,1.0,0.0,0.0,4619,0.4,0.6,2362,0.3,0.7,2599,0.2,0.8
94-95,C\xe1ceres C.B.,13,38,17,21,2970,3043,7719,2792,2970,3932,1261,1011,13,9,1,11,1,0,0.7,0.1,0.8,0.1,0.0,3787,0.5,0.5,1709,0.4,0.6,1781,0.4,0.6
94-95,7Up Joventut,14,38,17,21,2938,3014,7742,2814,2938,3818,1459,1273,15,8,3,11,1,0,0.5,0.2,0.7,0.1,0.0,3924,0.5,0.5,1479,0.5,0.5,1541,0.5,0.5
94-95,Coren Orense,15,38,17,21,3018,3125,7595,2695,3018,2758,660,373,12,7,1,10,1,0,0.6,0.1,0.8,0.1,0.0,4837,0.4,0.6,2358,0.2,0.8,2322,0.1,0.9
94-95,Baloncesto Salamanca,16,38,17,21,2881,2947,7694,2737,2881,4713,1284,1161,15,9,3,10,2,0,0.6,0.2,0.7,0.1,0.0,2981,0.6,0.4,1597,0.4,0.6,1576,0.4,0.6
94-95,Pamesa Valencia,17,38,15,23,3060,3140,7694,2909,3060,3845,1023,628,14,10,1,13,0,0,0.7,0.1,0.9,0.0,0.0,3849,0.5,0.5,2037,0.3,0.7,2281,0.2,0.8
94-95,Valvi Girona,18,38,15,23,2886,2967,7641,2648,2886,3605,1117,813,16,8,5,10,1,0,0.5,0.3,0.6,0.1,0.0,4036,0.5,0.5,1769,0.4,0.6,1835,0.3,0.7
94-95,Somontano Huesca,19,38,12,26,2937,3138,7616,2664,2937,4266,1265,941,18,12,3,14,1,0,0.7,0.2,0.8,0.1,0.0,3350,0.6,0.4,1672,0.4,0.6,1723,0.4,0.6
94-95,Breog\xe1n Lugo,20,38,10,28,2942,3211,7693,2783,2942,4098,1031,867,15,9,1,13,1,0,0.6,0.1,0.9,0.1,0.0,3595,0.5,0.5,1911,0.4,0.6,1916,0.3,0.7
13-14,Real Madrid,1,34,32,2,3001,2480,6792,2605,3001,3313,1705,1308,15,8,1,12,2,0,0.5,0.1,0.8,0.1,0.0,3479,0.5,0.5,1296,0.6,0.4,1297,0.5,0.5
13-14,Valencia Basket Club,2,34,30,4,2930,2554,6816,1880,2930,1960,765,431,18,8,3,13,1,1,0.4,0.2,0.7,0.1,0.1,4856,0.3,0.7,2165,0.3,0.7,1449,0.2,0.8
13-14,Barcelona,3,34,27,7,2785,2382,6795,2015,2785,1613,591,397,14,3,1,12,0,1,0.2,0.1,0.9,0.0,0.1,5182,0.2,0.8,2194,0.2,0.8,1618,0.2,0.8
13-14,Unicaja,4,34,23,11,2745,2467,6792,1390,2745,1921,643,381,16,5,1,12,2,1,0.3,0.1,0.8,0.1,0.1,4871,0.3,0.7,2102,0.2,0.8,1009,0.3,0.7
13-14,Herbalife Gran Canaria,5,34,22,12,2595,2430,6865,825,2595,3198,1156,386,16,8,1,15,0,0,0.5,0.1,0.9,0.0,0.0,3667,0.5,0.5,1439,0.4,0.6,439,0.5,0.5
13-14,Laboral Kutxa,6,34,19,15,2777,2702,6842,375,2777,903,341,76,19,1,2,15,0,2,0.1,0.1,0.8,0.0,0.1,5939,0.1,0.9,2436,0.1,0.9,299,0.2,0.8
13-14,Cajasol,7,34,18,16,2543,2545,6818,-10,2543,1716,598,-41,14,5,1,13,0,0,0.4,0.1,0.9,0.0,0.0,5102,0.3,0.7,1945,0.2,0.8,31,4.1,-3.1
13-14,CAI Zaragoza,8,34,18,16,2647,2591,6791,280,2647,1818,521,-33,18,6,2,15,1,0,0.3,0.1,0.8,0.1,0.0,4973,0.3,0.7,2126,0.2,0.8,313,-0.1,1.1
13-14,FIATC Joventut,9,34,16,18,2655,2658,6871,-15,2655,3030,1022,0,14,8,2,12,0,0,0.6,0.1,0.9,0.0,0.0,3841,0.4,0.6,1633,0.4,0.6,-15,-0.0,1.0
13-14,Gipuzkoa Basket,10,34,16,18,2417,2443,6793,-130,2417,2950,907,-123,12,6,2,9,0,1,0.5,0.2,0.8,0.0,0.1,3843,0.4,0.6,1510,0.4,0.6,-7,0.9,0.1
13-14,Iberostar Tenerife,11,34,14,20,2644,2739,6841,-475,2644,3214,1051,-372,17,7,0,14,0,3,0.4,0.0,0.8,0.0,0.2,3627,0.5,0.5,1593,0.4,0.6,-103,0.8,0.2
13-14,Rio Natura Monbus,12,34,13,21,2548,2624,6818,-380,2548,1618,713,-67,16,6,5,9,0,2,0.4,0.3,0.6,0.0,0.1,5200,0.2,0.8,1835,0.3,0.7,-313,0.2,0.8
13-14,UCAM Murcia,13,34,12,22,2661,2866,6816,-1025,2661,2697,824,-377,20,11,5,12,1,2,0.6,0.2,0.6,0.0,0.1,4119,0.4,0.6,1837,0.3,0.7,-648,0.4,0.6
13-14,Bilbao Basket,14,34,12,22,2692,2751,6816,-295,2692,2618,1036,-69,16,6,2,12,2,0,0.4,0.1,0.8,0.1,0.0,4198,0.4,0.6,1656,0.4,0.6,-226,0.2,0.8
13-14,Baloncesto Fuenlabrada,15,34,12,22,2580,2768,6818,-940,2580,2430,727,-333,15,6,3,11,1,0,0.4,0.2,0.7,0.1,0.0,4388,0.4,0.6,1853,0.3,0.7,-607,0.4,0.6
13-14,Tuenti Movil Estudiantes,16,34,12,22,2569,2682,6891,-565,2569,2535,711,-320,15,8,0,13,0,2,0.5,0.0,0.9,0.0,0.1,4356,0.4,0.6,1858,0.3,0.7,-245,0.6,0.4
13-14,"Or Manresa""]",17,34,7,27,2464,2888,6840,-2118,2464,2280,716,-749,19,8,6,11,1,1,0.4,0.3,0.6,0.1,0.1,4560,0.3,0.7,1748,0.3,0.7,-1369,0.4,0.6
13-14,Valladolid,18,34,3,31,2392,3075,6793,-3415,2392,1502,330,-690,22,6,12,6,2,2,0.3,0.5,0.3,0.1,0.1,5291,0.2,0.8,2062,0.1,0.9,-2725,0.2,0.8
03-04,TAU Cer\xe1mica,1,34,28,6,2964,2668,6793,3196,2964,1498,500,610,19,7,5,14,0,0,0.4,0.3,0.7,0.0,0.0,5295,0.2,0.8,2464,0.2,0.8,2586,0.2,0.8
03-04,Pamesa C Valencia,2,34,23,11,2841,2659,6817,2804,2841,1575,544,461,17,6,1,16,0,0,0.4,0.1,0.9,0.0,0.0,5242,0.2,0.8,2297,0.2,0.8,2343,0.2,0.8
03-04,F.C. Barcelona,3,34,23,11,2606,2462,6793,2810,2606,3553,1254,1214,17,10,1,16,0,0,0.6,0.1,0.9,0.0,0.0,3240,0.5,0.5,1352,0.5,0.5,1596,0.4,0.6
03-04,Unicaja,4,34,20,14,2621,2623,6843,2533,2621,1260,412,352,15,4,0,15,0,0,0.3,0.0,1.0,0.0,0.0,5583,0.2,0.8,2209,0.2,0.8,2181,0.1,0.9
03-04,Adecco Estudiantes,5,34,20,14,2750,2642,6793,2749,2750,3657,1393,1570,17,11,2,15,0,0,0.6,0.1,0.9,0.0,0.0,3136,0.5,0.5,1357,0.5,0.5,1179,0.6,0.4
03-04,Real Madrid,6,34,20,14,2846,2727,6844,2878,2846,2488,1019,917,18,12,3,15,0,0,0.7,0.2,0.8,0.0,0.0,4356,0.4,0.6,1827,0.4,0.6,1961,0.3,0.7
03-04,Auna G. Canaria,7,34,17,17,2551,2529,6818,2527,2551,2789,887,926,14,6,2,12,0,0,0.4,0.1,0.9,0.0,0.0,4029,0.4,0.6,1664,0.3,0.7,1601,0.4,0.6
03-04,DKV Joventut,8,34,16,18,2829,2759,6819,2884,2829,3011,1126,1131,15,6,1,13,0,1,0.4,0.1,0.9,0.0,0.1,3808,0.4,0.6,1703,0.4,0.6,1753,0.4,0.6
